Industry_std,Industry_IRS,Industry_DP,IRS_Net_Income,IRS_Deficit,IRS_Net_Income_Less_Deficit,IRS_Salaries_Wages,Total Occupation and Annual Income - Total Occupations Considered for Job Loss Calculations,Total Occupation and Annual Income - Total Annual Income From All Occupations Considered ($),Job and Income Loss: Slowest Time Progression - Percent Job Loss,Job and Income Loss: Slowest Time Progression - Net Job Loss,Job and Income Loss: Slowest Time Progression - Percent Income Loss,Job and Income Loss: Slowest Time Progression - Annual Net Income Loss ($),Job and Income Loss: Slowest Time Progression - Percent Income Loss to Percent Job Loss Ratio,Job and Income Loss: Median Time Progression - Percent Job Loss,Job and Income Loss: Median Time Progression - Net Job Loss,Job and Income Loss: Median Time Progression - Percent Income Loss,Job and Income Loss: Median Time Progression - Annual Net Income Loss ($),Job and Income Loss: Median Time Progression - Percent Income Loss to Percent Job Loss Ratio,Job and Income Loss: Fastest Time Progression - Percent Job Loss,Job and Income Loss: Fastest Time Progression - Net Job Loss,Job and Income Loss: Fastest Time Progression - Percent Income Loss,Job and Income Loss: Fastest Time Progression - Annual Net Income Loss ($),Job and Income Loss: Fastest Time Progression - Percent Income Loss to Percent Job Loss Ratio
"Agriculture, Forestry, Fishing And Hunting","Agriculture, forestry, fishing and hunting","Agriculture, Forestry, Fishing and Hunting",23978028000,10415070000,13562958000,284076813000.0,418580,18423395400,0.0027225470640498827,1139.60375007,0.0037097400181682525,68346007.1859169,1.36,0.011036692101414305,4619.7385798099995,0.015165394842227885,279398065.57548493,1.37,0.027280422751851503,11419.039355470002,0.037777395791339416,695987899.8461419,1.38
"Mining, Quarrying, And Oil And Gas Extraction",Mining,"Mining, Quarrying, and Oil and Gas Extraction",116157512000,9537807000,106619705000,533285371000.0,563520,44859345200,0.009013114369072971,5079.07020926,0.012020649335874005,539238458.0861228,1.33,0.03484642749833191,19636.658823859998,0.04626794264746388,2075549610.9163842,1.33,0.08027701083352856,45237.70114491002,0.10534178088684219,4725563312.785616,1.31
Utilities,Utilities,Utilities,44710051000,18764098000,25945953000,831033859000.0,575460,58465610700,0.01971926238221596,11347.646730469996,0.020146386655750366,1177870799.226776,1.02,0.06852587359717441,39433.899220229985,0.06961140756271067,4069873454.8404775,1.02,0.1459612961250999,83994.88746814999,0.1501123479505108,8776410096.537506,1.03
Construction,Construction,Construction,172418478000,28719908000,143698570000,2529302070000.0,8086090,567630586200,0.007247422764411472,58603.312741079964,0.0074309480008626205,4218033369.7513676,1.03,0.02930579223563925,236969.27353868017,0.030606886231912763,17373404773.57735,1.04,0.07206260922249817,582704.7438079503,0.07713389128998685,43783555928.82231,1.07
Manufacturing,Manufacturing,Manufacturing,1578250359000,78134051000,1500116308000,8970118742000.0,12524520,838795437100,0.012018521491909457,150526.21279584983,0.01734713739040983,14550699689.822567,1.44,0.042643539510313355,534089.8634677099,0.05965026160513694,50034367256.21018,1.4,0.09102570845440623,1140053.30605138,0.12388938782190936,103917853210.12988,1.36
Wholesale Trade,Wholesale trade,Wholesale Trade,404236592000,27663750000,376572842000,6960467662000.0,5983270,445079902400,0.020228518195272823,121032.68606223002,0.0236078604287295,10507384215.491749,1.17,0.071731380017472,429188.2141171397,0.08174490722377693,36383015328.85569,1.14,0.14816231008514236,886495.1050631297,0.16666902352475063,74181032723.49931,1.12
Retail Trade,Retail trade,Retail Trade,315503812000,31229835000,284273977000,5962797593000.0,15504190,678424404700,0.009787609677519434,151748.96008610004,0.0106439860619724,7221139907.728724,1.09,0.038463657036191506,596347.84678395,0.041064429616851764,27859111217.157707,1.07,0.08381238334624638,1299443.1157530397,0.08993523131348613,61014255765.40862,1.07
Transportation And Warehousing,Transportation and warehousing,Transportation and Warehousing,100838830000,23611292000,77227538000,1369301956000.0,7268870,432965622100,0.005883312245401283,42765.031881230025,0.007165544874868273,3102434594.4328084,1.22,0.022751837572603444,165380.14957637,0.026589060241075272,11512149008.331532,1.17,0.05237570813815904,380712.2136142201,0.06022104665518499,26073642928.575294,1.15
Information,Information,Information,515059418000,73335214000,441724204000,1809813595000.0,2851680,320622735400,0.07168191038523955,204413.87020737992,0.0696841516200989,22342323306.46445,0.97,0.18305919842976762,522026.2549781997,0.178278252052366,57160060835.36025,0.97,0.30734887367261404,876460.6360747201,0.29734224096930884,95334682649.54575,0.97
Finance And Insurance,Finance and insurance,Finance and Insurance,1158399758000,123909783000,1034489975000,4315395970000.0,6152930,606485336200,0.04696617164317486,288979.5664884399,0.043083938360189554,26129776841.19964,0.92,0.16464425706764257,1013044.58863921,0.14645383083937433,88822100834.39586,0.89,0.33266361242138476,2046855.920775911,0.2917413816388384,176936869926.6834,0.88
Real Estate And Rental And Leasing,Real estate and rental and leasing,Real Estate and Rental and Leasing,190313910000,58289600000,132024310000,698418781000.0,2345990,152542637700,0.018287371060354052,42901.98963388,0.01839869019097829,2806584731.9569454,1.01,0.06727873415511573,157835.23754055996,0.0680068016855515,10373936910.65483,1.01,0.14680788973692557,344409.84124393004,0.15076818816339163,22998577103.693676,1.03
"Professional, Scientific, And Technical Services","Professional, scientific, and technical services ","Professional, Scientific, and Technical Services",246625442000,98366200000,148259242000,1900440012000.0,10686910,1135331868400,0.05172691988097688,552800.9373452106,0.04930802577934207,55980973035.1758,0.95,0.15587831735523272,1665857.5485268102,0.14711531359335223,167024703852.1925,0.94,0.2981430148587897,3186227.5669245482,0.28010166650864476,318008348379.2134,0.94
Management Of Companies And Enterprises,Management of companies (holding companies),Management of Companies and Enterprises,308941089000,56455109000,252485980000,871371562000.0,2757540,309215822600,0.04474547354090242,123387.43310798006,0.042482644174705333,13136305764.704607,0.95,0.14133691715705296,389742.20253725984,0.1322945943241481,40907581809.47475,0.94,0.27882687171040105,768876.2518162993,0.26097554308772236,80697767234.3518,0.94
Administrative And Support And Waste Management And Remediation Services,Administrative and support and waste management and remediation services ,Administrative and Support and Waste Management and Remediation Services,76653998000,12884996000,63769002000,853258594000.0,8851420,490146593000,0.01515429450418124,134137.02546019992,0.01957639312617221,9595302394.021927,1.29,0.05276306150927646,467028.0179044398,0.06449290388005632,31610977109.486088,1.22,0.11263724221236251,996999.5384633498,0.13401556290841984,65687271568.539154,1.19
Educational Services,Educational services,Educational Services,7694465000,3542354000,4152111000,65911528000.0,13125250,884807753600,0.02162202016272835,283794.4201408503,0.021762120275639,19255292754.661156,1.01,0.08269823947784836,1085435.0677066292,0.08173190749768994,72317025470.47403,0.99,0.17886731790111352,2347678.26428159,0.17512245772106602,154949708421.0874,0.98
Health Care And Social Assistance,Health care and social assistance ,Health Care and Social Assistance,116808627000,29684519000,87124108000,1355480447000.0,22538440,1479370532000,0.00982234286785332,221380.28538654,0.01008167227945845,14914528883.512098,1.03,0.03632897778176616,818798.4859956696,0.03631390987845123,53721728175.884445,1.0,0.08795767481684809,1982428.7763990415,0.08822609363977997,130519083084.1631,1.0
"Arts, Entertainment, And Recreation","Arts, entertainment, and recreation","Arts, Entertainment, and Recreation",32642504000,8281160000,24361344000,199307212000.0,2543350,128206798100,0.012955714141970236,32950.91556298,0.013521151485656205,1733503538.6010401,1.04,0.046954902881699324,119422.75224416998,0.047526589377742526,6093231848.733841,1.01,0.10365176149198106,263622.70759063005,0.10428426746938219,13369952024.45348,1.01
Accommodation And Food Services,Accommodation and food services,Accommodation and Food Services,72251371000,16073981000,56177390000,715212396000.0,14119260,535711692900,0.00140907626406129,19895.114132110008,0.001975283276278763,1058182347.8923544,1.4,0.005963677558501648,84202.71400464998,0.008319946801412301,4457092785.822524,1.4,0.015014794498948958,211997.78737723007,0.020969103993812382,11233394199.121382,1.4
Other Services (Except Public Administration),Other services,Other Services (except Public Administration),30003239000,8696385000,21306854000,325834901000.0,4337450,242317378900,0.01549833106241686,67223.23606668001,0.017722180015036677,4294392209.63765,1.14,0.05161630908457044,223883.15983887005,0.057834126689773425,14014213990.43643,1.12,0.11331255104693544,491487.5245385301,0.1277688447349144,30960611561.245525,1.13
