Industry_std,shortfall_mean,shortfall_std,shortfall_p5,shortfall_p25,shortfall_p50,shortfall_p75,shortfall_p95,p_net_loss,baseline_total_rev,shortfall_pct_of_rev,deficit_trap,timeline
"Agriculture, Forestry, Fishing And Hunting",308151397.17273283,19708978.11100228,276629733.26842415,294604159.3973576,307691912.6567862,321171841.94771147,341455921.8676914,1.0,108808872429.0,0.0028278200645591787,0,Slow
"Mining, Quarrying, And Oil And Gas Extraction",1722490147.3257346,119637765.86745772,1531156382.8610637,1640187902.2985983,1719448557.7092276,1801453810.0007234,1924123703.7713132,1.0,221305581433.0,0.0077695670690971184,0,Slow
Utilities,6088765784.4856415,312720353.03854954,5588845123.806699,5874423719.549398,6080580046.189932,6294836469.835089,6616273520.67882,1.0,315424279537.0,0.01927746353297659,0,Slow
Construction,6114026136.363933,351681917.4213138,5551265853.244486,5871226044.603262,6106185397.700733,6345073015.955512,6707353231.012547,1.0,973606371810.0,0.0062717188121406,0,Slow
Manufacturing,48645176020.96047,2910104366.4296203,43974156965.69623,46638550819.692474,48568816379.33052,50574695889.540016,53532879541.42522,1.0,3660878715446.0,0.013266983190240283,0,Slow
Wholesale Trade,58989121445.71783,3077643996.8750424,54072625606.18858,56874173261.43029,58916075841.25522,61023531081.83255,64183860805.307945,1.0,2675334734746.0,0.022021945544264312,0,Slow
Retail Trade,21915839195.560734,1184277069.3920946,20018272608.572674,21099760118.29802,21892315248.497654,22700318002.029602,23905339324.77152,1.0,2283821037359.0,0.009585827825552314,0,Slow
Transportation And Warehousing,3178190508.9186263,183429048.16737464,2884687237.9891624,3052289421.447196,3173446851.9584017,3299106924.2081213,3486998458.4731517,1.0,526967412568.0,0.006022093162257732,0,Slow
Information,44309047278.04794,2355763156.7889824,40528674177.75171,42687820854.402596,44244204671.38937,45868366448.683815,48291189314.82955,1.0,767822553775.0,0.057622955269889795,1,Slow
Finance And Insurance,62886455433.97851,3466081797.356506,57317094774.69379,60501808411.34407,62808061851.628525,65161185732.871086,68719488580.92883,1.0,1826885591560.0,0.03437985506141956,0,Slow
Real Estate And Rental And Leasing,3967570605.1663475,241587302.2264141,3580632562.3317924,3801877727.5590534,3961763508.216875,4127313969.438394,4374406983.083164,1.0,288235310413.0,0.013744893026951605,0,Slow
"Professional, Scientific, And Technical Services",34064379695.454845,1753602599.134151,31261926674.062107,32855433410.768353,34022039296.752995,35220758997.220024,37018790973.725624,1.0,739998565296.0,0.04597581791681468,0,Slow
Management Of Companies And Enterprises,12229308648.408903,691452833.4687501,11121474549.577442,11756589990.24855,12211554506.728151,12685680186.619362,13391811984.974785,1.0,378043648426.0,0.03230196977934017,0,Slow
Administrative And Support And Waste Management And Remediation Services,5835809311.629231,312436471.37952423,5334455563.593118,5622913824.822007,5827948503.223499,6042590118.75743,6361575993.842456,1.0,331656945982.0,0.01757221904690577,0,Slow
Educational Services,509567934.87214226,26876415.10362173,466718986.5958789,490999444.87863195,508827327.76278126,527205418.94794273,555022292.9406761,1.0,25456943254.0,0.01998776218675941,0,Slow
Health Care And Social Assistance,4555298198.720883,255730327.48301524,4146505161.4688416,4379306718.50482,4548862057.293535,4723019330.811417,4988427604.561356,1.0,523890269411.0,0.008682852732515409,0,Slow
"Arts, Entertainment, And Recreation",852922417.099726,50197029.19396886,772462232.7740812,818575388.8765377,851860830.3739742,885775280.4833438,937765864.1390902,1.0,79457472316.0,0.010720965637896825,0,Slow
Accommodation And Food Services,173677956.00829285,26491047.51313824,131146610.17856453,155591227.3386132,172961725.3164374,191052184.2172323,218362945.1857166,1.0,278571475608.0,0.0006208881398891879,0,Slow
Other Services (Except Public Administration),2022514588.460474,107834453.78282653,1849887735.271965,1948510889.1404908,2019703913.1080012,2093693031.205285,2204995653.9246907,1.0,126010857413.0,0.016028015002615456,0,Slow
"Agriculture, Forestry, Fishing And Hunting",1523662649.3059597,80506386.01769556,1394496434.9693022,1468217505.5399337,1521943748.0236135,1577010937.2285943,1659201609.5155768,1.0,108808872429.0,0.013987312928150347,0,Median
"Mining, Quarrying, And Oil And Gas Extraction",8542754214.593379,460984020.17356694,7804245616.581671,8226631524.533733,8528994129.819729,8847937437.16168,9318832454.896666,1.0,221305581433.0,0.03853944430408264,0,Median
Utilities,21443395341.83483,1081933317.1715395,19712066224.642185,20703490186.850204,21417304779.24768,22158826431.525036,23269439214.31767,1.0,315424279537.0,0.06789998794856685,1,Median
Construction,28012437168.36678,1448920625.1812415,25687609435.674988,27016878286.28074,27977369860.01178,28968126132.45544,30457358438.207844,1.0,973606371810.0,0.028735812203036386,0,Median
Manufacturing,190402472562.35657,10002803716.698042,174438450029.51028,183483457020.88916,190203759569.83057,197004377033.242,207192850058.45038,1.0,3660878715446.0,0.05195576645774191,1,Median
Wholesale Trade,210114424482.6828,10657129044.133627,193050253005.73633,202785898628.8086,209859708487.9528,217093891073.90216,228116607981.23233,1.0,2675334734746.0,0.0784424116213918,1,Median
Retail Trade,89650342522.48094,4565324909.599217,82336491914.82996,86514783657.80016,89540560097.84215,92665755558.76645,97347778923.1566,1.0,2283821037359.0,0.03920646961085288,0,Median
Transportation And Warehousing,13109762660.994152,679784474.8016682,12016552002.025303,12644345464.76052,13094791515.460835,13559279117.292778,14253943824.363413,1.0,526967412568.0,0.024849338314199988,0,Median
Information,117677881055.57314,6004696475.67292,108093687824.59511,113543662637.33498,117520554925.42715,121645307670.44254,127808494764.08563,1.0,767822553775.0,0.1530569196588942,1,Median
